id,left,top,right,bottom,row_index,col_index,grid_area,density,b_area_sum,building_density,density_final1,green_mean
84,1115102.539600000018254,1670207.949100000318140,1115602.539600000018254,1669707.949100000085309,83,0,20183.969,0.000,,,,0
85,1115102.539600000018254,1669707.949100000085309,1115602.539600000018254,1669207.949100000318140,84,0,38744.249,0.000,,,,0
197,1115602.539600000018254,1670207.949100000318140,1116102.539600000018254,1669707.949100000085309,83,1,1273.826,0.000,,,,
198,1115602.539600000018254,1669707.949100000085309,1116102.539600000018254,1669207.949100000318140,84,1,125971.914,0.003,338.706000,0.003,0.003,0
199,1115602.539600000018254,1669207.949100000318140,1116102.539600000018254,1668707.949100000085309,85,1,425.381,0.000,,,,0
311,1116102.539600000018254,1669707.949100000085309,1116602.539600000018254,1669207.949100000318140,84,2,99837.697,0.000,,,,0
312,1116102.539600000018254,1669207.949100000318140,1116602.539600000018254,1668707.949100000085309,85,2,13106.444,0.000,,,,0
618,1117602.539600000018254,1685707.949100000085309,1118102.539600000018254,1685207.949100000318140,52,5,93484.140,0.000,,,,0
619,1117602.539600000018254,1685207.949100000318140,1118102.539600000018254,1684707.949100000085309,53,5,54829.539,0.000,,,,0
638,1117602.539600000018254,1675707.949100000085309,1118102.539600000018254,1675207.949100000318140,72,5,31557.170,0.000,,,,0
639,1117602.539600000018254,1675207.949100000318140,1118102.539600000018254,1674707.949100000085309,73,5,47673.817,0.000,,,,0
731,1118102.539600000018254,1685707.949100000085309,1118602.539600000018254,1685207.949100000318140,52,6,186095.718,0.000,,,,0.427230046948357
732,1118102.539600000018254,1685207.949100000318140,1118602.539600000018254,1684707.949100000085309,53,6,237358.721,0.000,,,,0.444866920152091
733,1118102.539600000018254,1684707.949100000085309,1118602.539600000018254,1684207.949100000318140,54,6,97665.457,0.000,,,,0.767857142857143
734,1118102.539600000018254,1684207.949100000318140,1118602.539600000018254,1683707.949100000085309,55,6,414.951,0.000,,,,0
751,1118102.539600000018254,1675707.949100000085309,1118602.539600000018254,1675207.949100000318140,72,6,47.032,0.000,,,,0
752,1118102.539600000018254,1675207.949100000318140,1118602.539600000018254,1674707.949100000085309,73,6,2725.162,0.000,,,,0
754,1118102.539600000018254,1674207.949100000318140,1118602.539600000018254,1673707.949100000085309,75,6,91831.810,0.000,17.842000,0.000,0.000,0.242990654205607
755,1118102.539600000018254,1673707.949100000085309,1118602.539600000018254,1673207.949100000318140,76,6,77147.160,0.000,,,,0.179775280898876
843,1118602.539600000018254,1686207.949100000318140,1119102.539600000018254,1685707.949100000085309,51,7,24481.283,0.000,,,,0.862068965517241
844,1118602.539600000018254,1685707.949100000085309,1119102.539600000018254,1685207.949100000318140,52,7,249495.580,0.000,,,,1
845,1118602.539600000018254,1685207.949100000318140,1119102.539600000018254,1684707.949100000085309,53,7,250112.994,0.001,178.062000,0.001,0.001,1
846,1118602.539600000018254,1684707.949100000085309,1119102.539600000018254,1684207.949100000318140,54,7,250112.993,0.003,466.164000,0.002,0.002,0.885813148788927
847,1118602.539600000018254,1684207.949100000318140,1119102.539600000018254,1683707.949100000085309,55,7,222191.375,0.000,,,,0.942622950819672
848,1118602.539600000018254,1683707.949100000085309,1119102.539600000018254,1683207.949100000318140,56,7,1617.842,0.000,,,,0
864,1118602.539600000018254,1675707.949100000085309,1119102.539600000018254,1675207.949100000318140,72,7,32090.860,0.000,,,,0
865,1118602.539600000018254,1675207.949100000318140,1119102.539600000018254,1674707.949100000085309,73,7,48892.742,0.000,,,,0
866,1118602.539600000018254,1674707.949100000085309,1119102.539600000018254,1674207.949100000318140,74,7,8538.877,0.000,,,,0
867,1118602.539600000018254,1674207.949100000318140,1119102.539600000018254,1673707.949100000085309,75,7,220755.578,0.004,681.918000,0.003,0.003,0.978902953586498
868,1118602.539600000018254,1673707.949100000085309,1119102.539600000018254,1673207.949100000318140,76,7,188207.601,0.000,,,,0.918367346938776
869,1118602.539600000018254,1673207.949100000318140,1119102.539600000018254,1672707.949100000085309,77,7,119.218,0.000,,,,0
873,1118602.539600000018254,1671207.949100000318140,1119102.539600000018254,1670707.949100000085309,81,7,431.382,0.000,,,,0
874,1118602.539600000018254,1670707.949100000085309,1119102.539600000018254,1670207.949100000318140,82,7,2739.284,0.000,,,,0
956,1119102.539600000018254,1686207.949100000318140,1119602.539600000018254,1685707.949100000085309,51,8,4019.789,0.000,,,,1
957,1119102.539600000018254,1685707.949100000085309,1119602.539600000018254,1685207.949100000318140,52,8,241204.279,0.000,,,,0.867424242424242
